iter	Logloss
0	0.5936311895
1	0.5083906396
2	0.4497772034
3	0.3949443207
4	0.3525574838
5	0.3078511217
6	0.2698275762
7	0.234750618
8	0.2057602476
9	0.1718649338
10	0.1563651036
11	0.1480498068
12	0.1357326508
13	0.1238749974
14	0.1091180339
15	0.09965517591
16	0.08773225721
17	0.07789984345
18	0.07287523326
19	0.06821121538
20	0.06207128307
21	0.05852064841
22	0.05515962839
23	0.05161966646
24	0.04894255365
25	0.04691035081
26	0.04477656414
27	0.04269167869
28	0.04048139208
29	0.03852129859
30	0.03670431235
31	0.03537218799
32	0.03397628314
33	0.03286349686
34	0.03136146332
35	0.03035424211
36	0.02931663043
37	0.02842267822
38	0.02735114448
39	0.02658189395
40	0.0255621996
41	0.02482470344
42	0.02403496469
43	0.02277358972
44	0.02210871875
45	0.02153419002
46	0.0210356182
47	0.02055596516
48	0.0200913921
49	0.0196643555
50	0.01924816431
51	0.01885455978
52	0.01845261148
53	0.01809071267
54	0.01766439527
55	0.01731259683
56	0.01697955368
57	0.01665422101
58	0.01635639238
59	0.0160639492
60	0.01576758439
61	0.0154979378
62	0.01523779376
63	0.01499242511
64	0.01474865088
65	0.01451036728
66	0.01426593653
67	0.01403508116
68	0.01382224963
69	0.01361749759
70	0.01341707303
71	0.0132224494
72	0.01303531777
73	0.01284994886
74	0.01267127298
75	0.01249156761
76	0.01232052331
77	0.01215797575
78	0.01199292917
79	0.01183669532
80	0.01167864681
81	0.01153214385
82	0.01138976216
83	0.01125077443
84	0.01111151037
85	0.01096896126
86	0.01083654779
87	0.01071021684
88	0.01058566198
89	0.01046222207
90	0.01034443278
91	0.01022716349
92	0.01011454862
93	0.009999154683
94	0.009891135947
95	0.009785358301
96	0.009681989822
97	0.009580443887
98	0.009480897337
99	0.009382968659
100	0.009287645712
101	0.009193892865
102	0.00910188937
103	0.009011984529
104	0.008923706106
105	0.008836862357
106	0.008752147722
107	0.008668656954
108	0.008586581577
109	0.008506409605
110	0.008427587283
111	0.008350096205
112	0.008274197359
113	0.00819968739
114	0.008126168567
115	0.008054435911
116	0.007980244344
117	0.007911213838
118	0.007842952276
119	0.007775601438
120	0.007709746633
121	0.007644685533
122	0.007580738734
123	0.00751814027
124	0.007454388282
125	0.007393821197
126	0.007333622259
127	0.00727485964
128	0.007217150401
129	0.00715998867
130	0.007104097263
131	0.007048734957
132	0.0069943226
133	0.006940903799
134	0.006888103178
135	0.00683607424
136	0.006784931811
137	0.006734831806
138	0.006685095017
139	0.006636204417
140	0.006587732035
141	0.006540354451
142	0.006493071971
143	0.006446262383
144	0.006401074722
145	0.00635594283
146	0.006312136593
147	0.006267932518
148	0.006225174841
149	0.006181926521
150	0.006140103783
151	0.006098995643
152	0.006058277562
153	0.00601800564
154	0.005976592136
155	0.005937172429
156	0.005898665965
157	0.005860588787
158	0.005823256557
159	0.005786031594
160	0.00574918924
161	0.005713390953
162	0.005677488687
163	0.005642333999
164	0.005607493879
165	0.005572996157
166	0.005538175321
167	0.005502589704
168	0.005469244193
169	0.005436743884
170	0.005404249491
171	0.005372280584
172	0.005340424969
173	0.005309488953
174	0.005278643002
175	0.005248032291
176	0.005218011711
177	0.005187994746
178	0.005158754613
179	0.005129319232
180	0.005100736175
181	0.00507223124
182	0.005044017535
183	0.005016486763
184	0.00498891074
185	0.004960372496
186	0.004929724423
187	0.004903659225
188	0.004877491471
189	0.004851268824
190	0.004825355814
191	0.00480008191
192	0.004774724846
193	0.004749667886
194	0.004724873011
195	0.004700387773
196	0.004676043878
197	0.00465191835
198	0.004628167104
199	0.004604809753
