<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-04-25T12:12:11.069980Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000050
2026-04-25T12:12:11.106524Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000044
2026-04-25T12:12:24.530808Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000038
2026-04-25T12:12:24.539065Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000035
2026-04-25T12:12:39.502635Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000048
2026-04-25T12:12:39.513104Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 143 "-" "Python-urllib/3.12" 0.000032
2026-04-25T12:12:54.573504Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 143 "-" "Python-urllib/3.12" 0.000035
2026-04-25T12:12:54.582155Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000040
2026-04-25T12:13:09.032536Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000035
2026-04-25T12:13:09.043251Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000028
2026-04-25T12:13:23.398870Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000037
2026-04-25T12:13:23.408090Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000041
2026-04-25T12:13:37.933044Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000031
2026-04-25T12:13:37.941624Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 145 "-" "Python-urllib/3.12" 0.000027
2026-04-25T12:13:42.993505Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection bench_test
2026-04-25T12:13:42.994112Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/bench_test HTTP/1.1" 200 72 "-" "python-requests/2.33.1" 0.001123
2026-04-25T12:13:42.996217Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection bench_test
2026-04-25T12:13:43.581266Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test HTTP/1.1" 200 71 "-" "python-requests/2.33.1" 0.585104
2026-04-25T12:13:43.657143Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.016599
2026-04-25T12:13:43.727063Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.011203
2026-04-25T12:13:43.800819Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.010599
2026-04-25T12:13:43.871188Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 91 "-" "python-requests/2.33.1" 0.011046
2026-04-25T12:13:43.940039Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.010824
2026-04-25T12:13:44.008417Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.010960
2026-04-25T12:13:44.075056Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.010549
2026-04-25T12:13:44.143120Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.011188
2026-04-25T12:13:44.216398Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 94 "-" "python-requests/2.33.1" 0.011351
2026-04-25T12:13:44.288581Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/bench_test/points HTTP/1.1" 200 95 "-" "python-requests/2.33.1" 0.010846
